log_sub_5_topic2.out,2.08582,2.12361,2.15232
log_sub_2_topic2.out,2.35784,2.39717,2.42578
log_sub_3_topic2.out,1.71338,1.7652,1.80398
log_sub_6_topic2.out,2.43744,2.47693,2.50623
log_sub_4_topic2.out,2.05595,2.06924,2.08592
log_sub_4_topic2.out,0.20628,0.21201,0.2158
log_sub_6_topic2.out,0.21079,0.21638,0.22278
log_sub_3_topic2.out,0.20391,0.21191,0.21793
log_sub_5_topic2.out,0.20814,0.21292,0.21654
log_sub_2_topic2.out,0.20758,0.21883,0.22447
log_sub_5_topic2.out,0.00336,0.00339,0.00357
log_sub_2_topic2.out,0.00244,0.00356,0.00405
log_sub_3_topic2.out,0.00278,0.00327,0.00393
log_sub_6_topic2.out,0.00419,0.00433,0.0049
log_sub_4_topic2.out,0.0034,0.00413,0.00424
log_sub_5_topic2.out,0.00422,0.00678,0.01554
log_sub_2_topic2.out,0.00527,0.00644,0.01161
log_sub_3_topic2.out,0.00508,0.00765,0.01307
log_sub_6_topic2.out,0.00455,0.00748,0.01357
log_sub_4_topic2.out,0.00469,0.00651,0.0126
log_sub_5_topic2.out,0.00422,0.00678,0.01554
log_sub_2_topic2.out,0.00527,0.00644,0.01161
log_sub_3_topic2.out,0.00508,0.00765,0.01307
log_sub_6_topic2.out,0.00455,0.00748,0.01357
log_sub_4_topic2.out,0.00469,0.00651,0.0126
log_sub_5_topic2.out,0.00422,0.00678,0.01554
log_sub_2_topic2.out,0.00527,0.00644,0.01161
log_sub_3_topic2.out,0.00508,0.00765,0.01307
log_sub_6_topic2.out,0.00455,0.00748,0.01357
log_sub_4_topic2.out,0.00469,0.00651,0.0126
log_sub_5_topic2.out,0.00422,0.00678,0.01554
log_sub_2_topic2.out,0.00527,0.00644,0.01161
log_sub_3_topic2.out,0.00508,0.00765,0.01307
log_sub_6_topic2.out,0.00455,0.00748,0.01357
log_sub_4_topic2.out,0.00469,0.00651,0.0126
log_sub_h5s1.out,0.01632,0.02009,0.02863
log_sub_h9s1.out,0.01489,0.017,0.02474
log_sub_h6s1.out,0.01621,0.01879,0.02743
log_sub_h7s1.out,0.01636,0.01891,0.02495
log_sub_h8s1.out,0.01653,0.01937,0.02758
log_sub_h13s1.out,0.01606,0.01986,0.02518
log_sub_h11s1.out,0.01664,0.02197,0.02891
log_sub_h12s1.out,0.01693,0.01871,0.02763
log_sub_h14s1.out,0.01625,0.02033,0.03056
log_sub_h10s1.out,0.01576,0.01963,0.02452
log_sub_h5s1.out,0.01632,0.02009,0.02863
log_sub_h5s1.out,0.01632,0.02009,0.02863
log_sub_h9s1.out,0.01489,0.017,0.02474
log_sub_h6s1.out,0.01621,0.01879,0.02743
log_sub_h7s1.out,0.01636,0.01891,0.02495
log_sub_h8s1.out,0.01653,0.01937,0.02758
log_sub_h13s1.out,0.01606,0.01986,0.02518
log_sub_h11s1.out,0.01664,0.02197,0.02891
log_sub_h12s1.out,0.01693,0.01871,0.02763
log_sub_h14s1.out,0.01625,0.02033,0.03056
log_sub_h10s1.out,0.01576,0.01963,0.02452
log_sub_h5s1.out,0.01632,0.02009,0.02863
log_sub_h9s1.out,0.01489,0.017,0.02474
log_sub_h6s1.out,0.01621,0.01879,0.02743
log_sub_h7s1.out,0.01636,0.01891,0.02495
log_sub_h8s1.out,0.01653,0.01937,0.02758
log_sub_h13s1.out,0.01606,0.01986,0.02518
log_sub_h11s1.out,0.01664,0.02197,0.02891
log_sub_h12s1.out,0.01693,0.01871,0.02763
log_sub_h14s1.out,0.01625,0.02033,0.03056
log_sub_h10s1.out,0.01576,0.01963,0.02452
