0,21:26:29.234423
1,21:26:29.250691
2,21:26:29.261306
3,21:26:29.271929
4,21:26:29.282790
5,21:26:29.293906
6,21:26:29.304543
7,21:26:29.314881
8,21:26:29.325286
9,21:26:29.336003
10,21:26:29.346454
11,21:26:29.357194
12,21:26:29.368372
13,21:26:29.379204
14,21:26:29.389860
15,21:26:29.400423
16,21:26:29.413052
17,21:26:29.423839
18,21:26:29.435269
19,21:26:29.446043
20,21:26:29.456823
21,21:26:29.467738
22,21:26:29.478443
23,21:26:29.488861
24,21:26:29.499626
25,21:26:29.510645
26,21:26:29.522428
27,21:26:29.533054
28,21:26:29.543700
29,21:26:29.554640
30,21:26:29.565185
31,21:26:29.575753
32,21:26:29.586556
33,21:26:29.597637
34,21:26:29.608642
35,21:26:29.619080
36,21:26:29.630400
37,21:26:29.640923
38,21:26:29.652252
39,21:26:29.664028
40,21:26:29.675591
41,21:26:29.686957
42,21:26:29.699029
43,21:26:29.709935
44,21:26:29.720500
45,21:26:29.735042
46,21:26:29.748129
47,21:26:29.758661
48,21:26:29.781996
49,21:26:29.796791
50,21:26:29.807995
51,21:26:29.818703
52,21:26:29.829193
53,21:26:29.840171
54,21:26:29.855627
55,21:26:29.868261
56,21:26:29.878587
57,21:26:29.889427
58,21:26:29.900208
59,21:26:29.911832
60,21:26:29.925292
61,21:26:29.937178
62,21:26:29.948560
63,21:26:29.961034
64,21:26:29.972887
65,21:26:29.985796
66,21:26:29.996410
67,21:26:30.013819
68,21:26:30.027508
69,21:26:30.038947
70,21:26:30.049680
71,21:26:30.060726
72,21:26:30.073456
73,21:26:30.085358
74,21:26:30.097913
75,21:26:30.109999
76,21:26:30.122944
77,21:26:30.134607
78,21:26:30.146900
79,21:26:30.162423
80,21:26:30.173613
81,21:26:30.185451
82,21:26:30.196384
83,21:26:30.206935
84,21:26:30.228140
85,21:26:30.239639
86,21:26:30.250781
87,21:26:30.261446
88,21:26:30.273662
89,21:26:30.288870
90,21:26:30.310612
91,21:26:30.321495
92,21:26:30.335587
93,21:26:30.346354
94,21:26:30.357130
95,21:26:30.367823
96,21:26:30.379980
97,21:26:30.392124
98,21:26:30.404235
99,21:26:30.414826
100,21:26:30.426591
101,21:26:30.439907
102,21:26:30.450508
103,21:26:30.464341
104,21:26:30.475140
105,21:26:30.487045
106,21:26:30.498468
107,21:26:30.512199
108,21:26:30.523403
109,21:26:30.534877
110,21:26:30.545675
111,21:26:30.557057
112,21:26:30.568011
113,21:26:30.580523
114,21:26:30.593625
115,21:26:30.604986
116,21:26:30.617909
117,21:26:30.629021
118,21:26:30.649369
119,21:26:30.660217
120,21:26:30.672598
121,21:26:30.684427
122,21:26:30.695936
123,21:26:30.707735
124,21:26:30.723552
125,21:26:30.796803
126,21:26:30.815123
127,21:26:30.826445
128,21:26:30.837031
129,21:26:30.849182
130,21:26:30.860639
131,21:26:30.872073
132,21:26:30.884204
133,21:26:30.895801
134,21:26:30.908282
135,21:26:30.920412
136,21:26:30.931526
137,21:26:30.944285
138,21:26:30.957301
139,21:26:30.970490
140,21:26:30.988371
141,21:26:30.999672
142,21:26:31.012302
143,21:26:31.024385
144,21:26:31.036527
145,21:26:31.048295
146,21:26:31.059466
147,21:26:31.071401
148,21:26:31.083564
149,21:26:31.094772
150,21:26:31.107994
151,21:26:31.118447
152,21:26:31.129176
153,21:26:31.139853
154,21:26:31.150505
155,21:26:31.161350
156,21:26:31.171690
157,21:26:31.182289
158,21:26:31.193336
159,21:26:31.205105
160,21:26:31.217677
161,21:26:31.228253
162,21:26:31.240113
163,21:26:31.252180
164,21:26:31.263700
165,21:26:31.277517
166,21:26:31.288155
167,21:26:31.300154
168,21:26:31.313692
169,21:26:31.324943
170,21:26:31.336961
171,21:26:31.349756
